,a_education,b_income,c_eastwest,d_sex,e_age,f_political_interest,g_preferred_party,p
163,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,DIE GRUENEN,0.0008944543828264759
164,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,DIE LINKE,0.0004472271914132379
165,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,FDP,0.0008944543828264759
166,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,SPD,0.0017889087656529517
167,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,WUERDE NICHT WAEHLEN,0.0017889087656529517
168,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,AFD,0.006261180679785331
169,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU,0.01744186046511628
170,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN,0.007602862254025045
171,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE,0.012075134168157423
172,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,FDP,0.0035778175313059034
173,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,SPD,0.014311270125223614
174,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN,0.0031305903398926656
175,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,AFD,0.0017889087656529517
176,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,CDU-CSU,0.0035778175313059034
177,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,DIE GRUENEN,0.0008944543828264759
178,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,DIE LINKE,0.0026833631484794273
179,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,FDP,0.0004472271914132379
180,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,SPD,0.0013416815742397137
181,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,WUERDE NICHT WAEHLEN,0.005366726296958855
182,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,AFD,0.004919499105545617
183,EHER GEBILDET,EHER NIEDRIG,NEUE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU,0.007155635062611807
